text@dch1988m	@dch1988m	332.199	332.616	да
text@dch1988m	@dch1988m	336.2	337.04	угу
text@dch1988m	@dch1988m	339.52	340.2	да
text@dch1988m	@dch1988m	342.54	343.46	угу
text@dch1988m	@dch1988m	348.08	349.46	угу
text@dch1988m	@dch1988m	353.24	354.04	да
text@dch1988m	@dch1988m	355.06	360.2	да // это же главная иллюзия стендапа это сделать вид что ты...ты это щас говоришь // ух / прям
text@dch1988m	@dch1988m	361.12	362.76	связь / да
text@dch1988m	@dch1988m	363.48	364.18	угу
text@dch1988m	@dch1988m	371.31	374.186	не знаю / в... в какой-то момент не смешат
text@dch1988m	@dch1988m	374.84	379.816	ну типа / их приходится освежать / находить что-то какую-то новую формулировочку // иногда бывает что вот э
text@dch1988m	@dch1988m	380.856	392.261	да / есть вот / друг мой / Витя Копаница / и мы вдруг в какой-то в один момент пришли к / какому-то наблюдению / что ты можешь иногда рассказывать концерт / и параллельно ещё думать типа щас я э в Перекрёсток заеду / куплю молока
text@dch1988m	@dch1988m	392.76	412.974	это типа супер тревожный сигнал // это значит что надо / типа или выкинуть это / или переворошить этот блок // просто иначе ты вот в... в такого киборга превращаешься / который / приехал работать и такой нэ-нэ-нэ-нэ-нэ-нэ-нэ // и это плохо / это / это сразу чувствуется / потому что ввв / сразу чувствуешь / что / блок / который вчера разъёбывал / сегодня он такой просто / ну ха / нормально да
words@ssm1982m	@ssm1982m	0.0	0.237	не
words@ssm1982m	@ssm1982m	0.237	0.474	параноик
words@ssm1982m	@ssm1982m	0.474	0.711	/
words@ssm1982m	@ssm1982m	0.711	0.948	не
words@ssm1982m	@ssm1982m	0.948	1.185	это
words@ssm1982m	@ssm1982m	1.185	1.422	самое
words@ssm1982m	@ssm1982m	1.422	1.659	не
words@ssm1982m	@ssm1982m	1.659	1.896	иппохондрик
words@ssm1982m	@ssm1982m	1.896	2.133	/
words@ssm1982m	@ssm1982m	2.133	2.37	нет
words@ssm1982m	@ssm1982m	2.37	2.607	/
words@ssm1982m	@ssm1982m	2.607	2.844	не
